lines_added,lines_deleted,net_churn,files_changed,commits_between,msg_total_length,has_perf_keyword,has_fix_keyword,has_test_keyword,has_refactor_keyword,has_dependency_keyword,project,language,prev_commit,commit,prev_energy_median,curr_energy_median,pct_change,p_value,cliffs_delta,is_regression_naive,is_regression
4,4,8,3,1,9,0,0,0,0,0,docx4j,java,1b1d1f3a4b0493b37ad0f49f533dfc3829f8fe2d,f4dac4625550959f8c5915a4e26c4118690812df,132.91,133.42,0.0038371830562033775,0.8682259903524354,-0.04,0,0
20,14,34,1,1,46,0,0,0,0,0,docx4j,java,f4dac4625550959f8c5915a4e26c4118690812df,f476a4846b2570fc6c3755116b377aa6c06cdbee,133.42,133.01,-0.0030730025483435516,0.4305454169461189,0.17333333333333334,0,0
14,5,19,2,1,7,0,0,0,0,0,docx4j,java,f476a4846b2570fc6c3755116b377aa6c06cdbee,67b608ef7c758565350c22c55f5614e5017ace6c,133.01,132.49,-0.003909480490188571,0.43049411012891337,0.17333333333333334,0,0
27,6,33,2,2,127,0,0,0,0,0,docx4j,java,67b608ef7c758565350c22c55f5614e5017ace6c,da6c868e73d8d8d71dcfd4b9b40c609400ec53c5,132.49,132.79,0.002264321835610106,0.8195061989586025,-0.05333333333333334,0,0
11,0,11,1,1,19,0,0,0,0,0,docx4j,java,da6c868e73d8d8d71dcfd4b9b40c609400ec53c5,f35faf871852d138d2bcf43dd6f72c43611fae51,132.79,132.67,-0.0009036825062128515,0.7089232340537643,-0.08444444444444445,0,0
65,22,87,1,1,28,0,0,0,0,0,docx4j,java,f35faf871852d138d2bcf43dd6f72c43611fae51,139f8c4fe343fa5d9ef7b7e40b226a3e101efcaf,132.67,133.35,0.005125499359312632,0.7715511878155722,-0.06666666666666667,0,0
4,4,8,1,1,22,0,0,0,0,1,docx4j,java,139f8c4fe343fa5d9ef7b7e40b226a3e101efcaf,fe5b988bc79441e530ece863ea638a25c4e63c86,133.35,133.11,-0.0017997750281213399,0.9338864180775845,0.022222222222222223,0,0
7,12,19,1,1,63,0,0,0,0,0,docx4j,java,fe5b988bc79441e530ece863ea638a25c4e63c86,022853385b01309be10d655f6cf08e1435a70c5d,133.11,133.16,0.00037562917887448683,0.7089232340537643,-0.08444444444444445,0,0
2,0,2,1,1,13,0,0,0,0,0,docx4j,java,022853385b01309be10d655f6cf08e1435a70c5d,f0d81da13da0a46cfbf6ee4e8b7f8ef43a5ef89a,133.16,133.26,0.0007509762691498522,0.5614474146848649,0.1288888888888889,0,0
4,0,4,1,1,13,0,0,0,0,0,docx4j,java,f0d81da13da0a46cfbf6ee4e8b7f8ef43a5ef89a,f4a4880c8ebae74735b375575569f6306b902847,133.26,133.39,0.0009755365450997708,0.43064798984807773,-0.17333333333333334,0,0
32,75,107,3,1,53,0,0,0,0,0,docx4j,java,f4a4880c8ebae74735b375575569f6306b902847,4341eb304464993b2e9a804ede5eb58ca8fd2939,133.39,133.41,0.00014993627708231676,0.6783024655972324,-0.09333333333333334,0,0
120,155,275,12,2,101,0,0,0,0,0,docx4j,java,4341eb304464993b2e9a804ede5eb58ca8fd2939,3c4acb402ec988540e19fd38d449b2eba0aef671,133.41,133.14,-0.0020238362941309516,0.5614038666800154,0.1288888888888889,0,0
17,0,17,1,2,84,0,0,0,0,0,docx4j,java,3c4acb402ec988540e19fd38d449b2eba0aef671,5d4cb8eef50189b39c7f4b6ce4bb7090b16324d6,133.14,132.88,-0.001952831605828383,0.3193982808676096,0.21777777777777776,0,0
152,119,271,11,10,411,0,0,0,0,1,docx4j,java,5d4cb8eef50189b39c7f4b6ce4bb7090b16324d6,43cd8cff288aaabd864ccd5be30748a33d474ced,132.88,133.61,0.005493678506923677,0.2289253771719547,-0.26222222222222225,0,0
46,38,84,4,1,27,0,0,0,0,0,docx4j,java,43cd8cff288aaabd864ccd5be30748a33d474ced,1a685a858c433dc452bcdaec2eca8c6185ecec7c,133.61,267.08,0.9989521742384548,3.3833394126542183e-06,-1.0,1,1
3,3,6,2,1,41,0,0,0,0,0,docx4j,java,1a685a858c433dc452bcdaec2eca8c6185ecec7c,53ecd933d797a11fa5dc751e22a815cb5497fc17,267.08,267.58,0.0018720982477160402,0.2901428023540349,-0.2311111111111111,0,0
